Movie Name,Year,Genre
Toy Story ,1995,"Animation|Children's|Comedy
"
Jumanji ,1995,"Adventure|Children's|Fantasy
"
Grumpier Old Men ,1995,"Comedy|Romance
"
Waiting to Exhale ,1995,"Comedy|Drama
"
Father of the Bride Part II ,1995,"Comedy
"
Heat ,1995,"Action|Crime|Thriller
"
Sabrina ,1995,"Comedy|Romance
"
Tom and Huck ,1995,"Adventure|Children's
"
Sudden Death ,1995,"Action
"
GoldenEye ,1995,"Action|Adventure|Thriller
"
"American President, The ",1995,"Comedy|Drama|Romance
"
Dracula: Dead and Loving It ,1995,"Comedy|Horror
"
Balto ,1995,"Animation|Children's
"
Nixon ,1995,"Drama
"
Cutthroat Island ,1995,"Action|Adventure|Romance
"
Casino ,1995,"Drama|Thriller
"
Sense and Sensibility ,1995,"Drama|Romance
"
Four Rooms ,1995,"Thriller
"
Ace Ventura: When Nature Calls ,1995,"Comedy
"
Money Train ,1995,"Action
"
Get Shorty ,1995,"Action|Comedy|Drama
"
Copycat ,1995,"Crime|Drama|Thriller
"
Assassins ,1995,"Thriller
"
Powder ,1995,"Drama|Sci-Fi
"
Leaving Las Vegas ,1995,"Drama|Romance
"
Othello ,1995,"Drama
"
Now and Then ,1995,"Drama
"
Persuasion ,1995,"Romance
"
"City of Lost Children, The ",1995,"Adventure|Sci-Fi
"
Shanghai Triad ,Yao ,"Drama
"
Dangerous Minds ,1995,"Drama
"
Twelve Monkeys ,1995,"Drama|Sci-Fi
"
Wings of Courage ,1995,"Adventure|Romance
"
Babe ,1995,"Children's|Comedy|Drama
"
Carrington ,1995,"Drama|Romance
"
Dead Man Walking ,1995,"Drama
"
Across the Sea of Time ,1995,"Documentary
"
It Takes Two ,1995,"Comedy
"
Clueless ,1995,"Comedy|Romance
"
"Cry, the Beloved Country ",1995,"Drama
"
Richard III ,1995,"Drama|War
"
Dead Presidents ,1995,"Action|Crime|Drama
"
Restoration ,1995,"Drama
"
Mortal Kombat ,1995,"Action|Adventure
"
To Die For ,1995,"Comedy|Drama
"
How to Make an American Quilt ,1995,"Drama|Romance
"
Seven ,Se7e,"Crime|Thriller
"
Pocahontas ,1995,"Animation|Children's|Musical|Romance
"
When Night Is Falling ,1995,"Drama|Romance
"
"Usual Suspects, The ",1995,"Crime|Thriller
"
Guardian Angel ,1994,"Action|Drama|Thriller
"
Mighty Aphrodite ,1995,"Comedy
"
Lamerica ,1994,"Drama
"
"Big Green, The ",1995,"Children's|Comedy
"
Georgia ,1995,"Drama
"
Kids of the Round Table ,1995,"Adventure|Children's|Fantasy
"
Home for the Holidays ,1995,"Drama
"
"Postino, Il ",The ,"Drama|Romance
"
"Confessional, The ",Le C,"Drama|Mystery
"
"Indian in the Cupboard, The ",1995,"Adventure|Children's|Fantasy
"
Eye for an Eye ,1996,"Drama|Thriller
"
Mr. Holland's Opus ,1995,"Drama
"
Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,1996,"Comedy
"
Two if by Sea ,1996,"Comedy|Romance
"
Bio-Dome ,1996,"Comedy
"
Lawnmower Man 2: Beyond Cyberspace ,1996,"Sci-Fi|Thriller
"
Two Bits ,1995,"Drama
"
French Twist ,Gazo,"Comedy|Romance
"
Friday ,1995,"Comedy
"
From Dusk Till Dawn ,1996,"Action|Comedy|Crime|Horror|Thriller
"
Fair Game ,1995,"Action
"
Kicking and Screaming ,1995,"Comedy|Drama
"
"Misérables, Les ",1995,"Drama|Musical
"
Bed of Roses ,1996,"Drama|Romance
"
Big Bully ,1996,"Comedy|Drama
"
Screamers ,1995,"Sci-Fi|Thriller
"
Nico Icon ,1995,"Documentary
"
"Crossing Guard, The ",1995,"Drama
"
"Juror, The ",1996,"Drama|Thriller
"
"White Balloon, The ",Badk,"Drama
"
Things to Do in Denver when You're Dead ,1995,"Crime|Drama|Romance
"
Antonia's Line ,Anto,"Drama
"
Once Upon a Time... When We Were Colored ,1995,"Drama
"
Last Summer in the Hamptons ,1995,"Comedy|Drama
"
Angels and Insects ,1995,"Drama|Romance
"
White Squall ,1996,"Adventure|Drama
"
Dunston Checks In ,1996,"Children's|Comedy
"
